,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Date,Session,Clan,Rating,Opponent,#,Map,Notes,Ya,Mo,Oh,Kr,GK,Co,Th,Re,Bo,Za,DM,Sa,Hi,Go,He,Ve,Yo,PR,Mk,St,Wo,Sm,Mi,Co,Sh,Hg,Hy,Ge,So,Gr,Kh,52,Da,Kl,Ma,PE,YY,X,,486,Points
,20,,1.2,KSC,B,PN,80,Land of Fire,,,,,1,,,1,,,,1,,,,,,,,1,1,,1,,,,,,1,1,,,,,,,,,-,,L,-21
,21,,1.2,KSC,B,SCCC,3,Shards,,1,,,1,,,,,,,1,,,,,,,,,1,,1,,,1,,,,,,,,,2,,,,-,,L,-17
,22,,1.2,KSC,B,STW,31,Sea of Fortune,,,,,2,,,,,,,1,,1,,,,1,,,1,,,,,,,,,,,,,,2,,,,-,,L,-22
,23,,1.2,KSC,B,CUTER,8,Hotspot,,1,,,1,,,,,,,2,,,,,,,,,1,,1,,,,,,1,1,,,,,,,,,-,,L,-14
,24,,1.2,KSC,B,O7,1,Warrior's Path,,,,,1,,,,1,,,,,,,,,,,2,2,,1,,,,,,,,,,,1,,,,,-,,L,-13
,25,,1.2,KSC,B,MIA,16,Crash Zone Alpha,,,,,2,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,1,1,,,,,-,,L,-17
,26,,1.2,KSC,B,STW,31,Land of Fire,,,,1,1,,,,,,,1,,1,,,,,,,2,,,,,,,,,1,,,,1,,,,,-,,W,32
,1,26/10,1.3,KSC,A,CCTV1,58,Shards,,1,,,1,,,,,,,,,,,1,,,,,2,,1,,,,,,,,,,,2,,,,,-,,L,-17
,2,,1.3,KSC,A,CUTE,22,Land of Fire,,1,,,,,,,1,,,,,,,2,,,,,1,,1,,,1,,,,,,,,,1,,,,-,,L,-15
,3,,1.3,KSC,A,PN,80,Crash Zone Alpha,,1,,,1,,,,,,,1,,,,,,1,,1,,,1,,,1,,,1,,,,,,,,,,-,,W,30
,4,,1.3,KSC,A,NGAGE,6,Warrior's Path,,1,,,1,,,,,,,,,1,,,,,,1,,,1,1,,,,,,1,,,,,1,,,,-,,W,S
,5,,1.3,KSC,A,PWP,4,Hotspot,,1,,,,,,,,,,1,,,,1,,,,,2,,1,,,,,,,,,,,2,,,,,-,,L,S
,6,,1.3,KSC,A,WDWTS,181,Crash Zone Alpha,,,1,,,,,,1,,1,2,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,-,,W,S
,7,,1.3,KSC,A,TNG,15,North,,1,,,1,,,,,,,2,,,,1,,,,,,,1,,,,,,,1,,,,1,,,,,-,,L,S
,8,,1.3,KSC,A,RMOVE,32,Sea of Fortune,,1,,,1,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,2,,,1,-,,L,-19
,9,,1.3,KSC,B,KILL,63,Warrior's Path,,2,,,,,,,,,,,,,,,,,,1,1,,2,,,,,,2,,,,,,,,,,-,,W,30
,10,,1.3,KSC,B,NLIST,39,North,,1,,,1,,,,,,,2,,,,,,,,1,1,,,,,,,,1,1,,,,,,,,,-,,W,28
,11,,1.3,KSC,B,OO7,13,Sea of Fortune,,1,,,1,,,,,,,1,,,,,,,,1,1,,1,,,1,,,,1,,,,,,,,,-,,L,-15
,12,,1.3,KSC,B,MIA,16,North,,1,,,1,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,1,,1,,,,-,,L,-16
,13,,1.3,KSC,B,RDS-A,71,Warrior's Path,,1,,,1,,,,,,,1,,,,,,,,1,2,,1,,,,,,1,,,,,,,,,,-,,W,28
,14,,1.3,KSC,B,-BRS-,33,Shards,,,,,2,,,,,,,1,,,,,,1,,1,,,1,,,,,,,2,,,,,,,,,-,,L,-16
,15,,1.3,KSC,B,TASH,52,Warrior's Path,,1,,,1,,,,,,,1,,,,,,,,1,1,,1,,,,,,,,,,,1,1,,,,-,,L,-18
,16,,1.3,KSC,B,SCCC,3,Land of Fire,,1,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,3,,,,-,,L,-15
,17,,1.3,KSC,B,KAG,57,Crash Zone Alpha,,1,,,1,,,,,,,1,,1,,,,,,,1,,1,,,,,,,,,,,1,1,,,,-,,W,29
,18,,1.3,KSC,B,SUR,98,Warrior's Path,,1,,1,,,,,,,1,1,,,,,,,,1,,,1,,,,,,1,,,,1,,,,,,-,,W,28
,19,,1.3,KSC,B,CHASE,66,Shards,,1,,,1,,,,,,,1,,,,,,,,1,1,,1,,,,,,,,,,,2,,,,,-,,L,-16
,20,,1.3,KSC,B,STW,31,Hotspot,,1,1,,,,,,,,,,,,,,,1,,,2,,1,,,,,,,1,,,1,,,,,,-,,L,-16
,1,27/10,1.4,KSC,A,CUTE,22,Land of Fire,,1,,,1,,,,,,,,,,,1,,,,2,,,1,,,,,,,,,,,,2,,,,-,,W,S
,2,,1.4,KSC,A,5D,45,Warrior's Path,,,,,1,1,,,,,1,,,,,,,,,1,1,,,1,,,,,,,,,,1,1,,,,-,,W,S
,3,,1.4,KSC,A,PWP,4,Shards,,1,,,1,,,,,,,1,,,,1,,,,,1,,1,,,,,,,,1,,,1,,,,,-,,L,S
,4,,1.4,KSC,A,Y0L0,92,Sea of Fortune,,1,,,1,,,,,,1,1,,,,,,,,2,,,,,,1,,,1,,,,,,,,,,-,,W,S
,5,,1.4,KSC,A,KILL,63,Warrior's Path,,,,1,,,,,,1,,,,,,,,,,,2,,1,,,1,,,,,,,,1,1,,,,-,,W,44
,6,,1.4,KSC,B,KSE,50,Crash Zone Alpha,,1,,,1,,,,,,1,1,,,,,,,,1,,,1,,,,,,1,,,,,1,,,,,-,,W,30
,7,,1.4,KSC,B,SQUAD,190,Sea of Fortune,,,1,,1,,,,,,,1,,,,1,,,,1,,,1,,,1,,,1,,,,,,,,,,-,,W,32
,8,,1.4,KSC,B,R-F,18,North,,1,,,1,,,,,,,1,,,,,,,,,1,,1,,,1,,,1,,,,,,1,,,,-,,L,-15
,9,,1.4,KSC,B,LARP,323,Crash Zone Alpha,,,,,1,,,,1,,,1,,,,,,,,1,,,2,,,,,,1,,,,,1,,,,,-,,W,30
,10,,1.4,KSC,B,DEV_X,353,Warrior's Path,,,1,,1,,,,,,,1,,,,,,,,,1,1,,1,,1,,,,,,,,1,,,,,-,,W,S
,11,,1.4,KSC,B,-BN-,9,Sea of Fortune,,,,1,1,,,,,,,1,,,,1,,,,,1,,1,,,,,,,,,,,1,1,,,,-,,L,S
,12,,1.4,KSC,B,STAR,88,Shards,,,1,,1,,,,,,,1,,,,1,,,,1,1,,,,,,,,,,,,,2,,,,,-,,L,S
,1,30/10,2.1,KSC,A,STW,31,Land of Fire,,,,1,1,,,,,,,1,,,,,,,,,2,,1,,,,,,,1,,,,1,,,,,-,,W,29
,2,,2.1,KSC,A,TNG,15,Hotspot,,1,,,1,,,,,,,2,,,,1,,,,,,,1,,,1,,,,,,,,1,,,,,-,,W,27
,3,,2.1,KSC,A,SCCC,3,North,,1,,,1,,,,,,,1,,,,,,,,,1,,1,,,,,,,1,,,,,2,,,,-,,W,31
,4,,2.1,KSC,A,PWP,4,Crash Zone Alpha,,,,,2,,,,,,,1,,,,,,,,1,1,,1,,,1,,,,,,,,1,,,,,-,,L,-17
,5,,2.1,KSC,A,TNG-3,48,Hotspot,,1,1,,,,,,,,1,,,,,,,,,,2,,1,,,,,,,1,,,,1,,,,,-,,L,-18
,6,,2.1,KSC,A,MIA,16,Sea of Fortune,,,,,2,,,,,,,1,,,,,,,,,,,2,,,,,,,1,,,,,2,,,,-,,L,-13
,7,,2.1,KSC,A,DES23,236,Shards,,1,,,1,,,,,,,2,,,,,,1,,,,,1,,,,,,1,,,,,1,,,,,-,,W,23
,8,,2.1,KSC,A,TASH,52,Crash Zone Alpha,,1,,,1,,,,,,,1,,,,,,,,2,,,1,,,,,,1,,,,,1,,,,,-,,W,23
,9,,2.1,KSC,B,TQL,53,Sea of Fortune,,1,,,1,,,,,,,1,,,,,,,,,1,,2,,,,,,,,,,,2,,,,,-,,L,-19
,10,,2.1,KSC,B,KNOTS,323,North,,,1,,1,,,,,,1,1,,1,,,,,,1,1,,1,,,,,,,,,,,,,,,,-,,W,S
,11,,2.1,KSC,B,-WTP-,56,Shards,,,,,,,,,,,,,,,,,,,,2,1,,1,,,,,,1,,,,1,,2,,,,-,,L,S
,12,,2.1,KSC,B,DES23,236,Warrior's Path,,1,,,1,,,,,,,2,,,,,,,,,2,,,,,1,,,1,,,,,,,,,,-,,W,S
,13,,2.1,KSC,B,R-F1,93,Hotspot,,1,,,1,,,,,,,,,,,,,,,,2,,2,,,,,,2,,,,,,,,,,-,,W,S
,14,,2.1,KSC,B,MIA,16,Land of Fire,,,,,2,,,,,,,1,,,,,,,,,,,2,,,,,,,1,,,,,2,,,,-,,W,43
,1,31/10,2.2,KSC,A,TRETA,90,North,,,,,1,,,,,1,,1,,,,,,,,,2,,1,,,,,,1,,,,,,1,,,,-,,L,-16
,2,,2.2,KSC,A,CVR,37,Warrior's Path,,,,,2,,,,,,,,,,,,,,,2,2,,1,,,,,,,,,,,,1,,,,-,,W,26
,3,,2.2,KSC,A,-BRS-,33,Sea of Fortune,,,,,2,,,,,,,1,,,,,,,,1,,,1,,,,,,,1,,,,,2,,,,-,,W,25
,4,,2.2,KSC,A,CRMSN,73,Land of Fire,,,,1,1,,,,,,,1,,1,,1,,,,,1,,,,,,,,1,1,,,,,,,,,-,,L,-19
,5,,2.2,KSC,A,-BN-,9,Hotspot,,1,,1,,,,,,,,1,,,,,,,,,1,,1,,,,,,,1,,,,,2,,,,-,,W,26
,6,,2.2,KSC,A,GAISHU,2,Sea of Fortune,,1,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,4,,,,-,,L,-13
,7,,2.2,KSC,A,SALVO,62,North,,1,1,,,,,,,,,,,,,1,,,,1,1,,,,,1,,,,1,,1,,,,,,,-,,W,21
,8,,2.2,KSC,A,CUTE,22,Warrior's Path,,1,,,1,,,,,,,,,,,1,,,,1,,,2,,,,,,,,1,,,1,,,,,-,,L,-18
,9,,2.2,KSC,A,CVR,37,Land of Fire,,,,,2,,,,,,,,,,,,,,,2,2,,1,,,,,,1,,,,,,,,,,-,,W,23
,10,,2.2,KSC,B,KSD,26,Shards,,,,,1,,,,,1,,1,,,,,,,,,1,,1,,,,,,,1,,,,,2,,,,-,,L,-16
,11,,2.2,KSC,B,R-R-R,75,Hotspot,,,,,2,,,,,,,1,,,,1,,,,,1,,1,,,1,,,,,,,,1,,,,,-,,W,27
,12,,2.2,KSC,B,PN,80,Land of Fire,,,,,2,,,,,,,,,,,,,,,1,1,,1,,,,,,,,1,,,,2,,,,-,,W,30
,13,,2.2,KSC,B,RMOVE,32,Shards,,1,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,3,,,,-,,W,27
,1,2/11,2.3,KSC,A,ARP,24,Warrior's Path,,,,,1,,,,1,,,,,,,,,,,1,2,,,,,,,,,1,,,,,2,,,,-,,W,23
,2,,2.3,KSC,A,TRETA,90,Land of Fire,,,,,1,1,,,,,,1,1,,,1,,,,,,,1,,,2,,,,,,,,,,,,,-,,W,18
,3,,2.3,KSC,A,CUTER,8,Sea of Fortune,,,,,2,,,,,,,1,,,,,,,,1,1,,1,,,,,,,1,,,,1,,,,,-,,L,-17
,4,,2.3,KSC,A,QCN,176,Warrior's Path,,,,,1,,,,,1,,1,,,,1,,,,,1,,,,,,,,,1,,,,,2,,,,-,,W,18
,5,,2.3,KSC,A,GAISHU,2,Hotspot,,,,,1,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,4,,,,-,,L,-10
,6,,2.3,KSC,A,-BRS-,33,Warrior's Path,,1,,,1,,,,,,,1,,,,,,,,,1,,2,,,,,,,1,,,,1,,,,,-,,W,21
,7,,2.3,KSC,A,TRETA,90,Crash Zone Alpha,,,,,2,,,,,,,1,,1,,,,,,,2,,,,,,,,,,,,,1,1,,,,-,,W,24
,8,,2.3,KSC,A,-TH-,4,Land of Fire,,,,1,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,4,,,,-,,W,23
,9,,2.3,KSC,B,-TH-,4,Hotspot,,,,1,1,,,,,,,1,,,,1,,,,1,,,1,,,1,,,,,,,,,1,,,,-,,W,32
,10,,2.3,KSC,B,-WTP-,56,Crash Zone Alpha,,,,,1,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,1,,2,,,,-,,W,21
,11,,2.3,KSC,B,MIA,16,Land of Fire,,,,,2,,,,,,,1,,,,,,,,,,,2,,,,,,,1,,,,,2,,,,-,,W,29
,12,,2.3,KSC,B,STAR,88,Shards,,1,1,,,,,,,,1,1,,,,,,,,1,1,,,,,,,,,,,,,2,,,,,-,,W,25
