,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Date,Session,Clan,Rating,Opponent,#,Map,Notes,Ya,Mo,Oh,Kr,GK,Co,Th,Re,Bo,Za,DM,Sa,Hi,Go,He,Ve,Yo,PR,Mk,St,Wo,Sm,Mi,Co,Sh,Hg,Hy,Ge,So,Gr,Kh,52,Da,Kl,Ma,PE,YY,X,,486,Points
,4,,1.4,KSD,A,PN,80,Land of Fire,br4in6,,1,,1,,,,,,,1,,,,,,,,2,,,,,,,,,,1,,,,,2,,,,-,,W,29
,5,,1.4,KSD,A,-B2P-,23,Warrior's Path,br4in6,1,,,1,,,,,,,1,,,,1,,,,,1,,1,,,,,,,1,,,,,1,,,,-,,W,29
,6,,1.4,KSD,A,TFP,115,North,br4in6,1,,,,,,,,1,1,1,,,,,,1,,,1,,,,,1,,,,,1,,,,,,,,-,,L,-17
,7,,1.4,KSD,A,SCCC,3,Land of Fire,br4in6,,,,1,,,1,,,,1,,,,,,,,,1,,1,,,,,,,,,,,1,2,,,,-,,W,30
,8,,1.4,KSD,A,AFW,145,Warrior's Path,br4in6,1,,,1,,,,,,,2,,,,,,,,,1,,1,,,1,,,1,,,,,,,,,,-,,W,S
,9,,1.4,KSD,A,TNG,15,Crash Zone Alpha,br4in6,1,,,1,,,,,,,2,,,,1,,,,,,,1,,,,,,,1,,,,1,,,,,-,,L,S
,10,,1.4,KSD,A,PMWC,149,Sea of Fortune,br4in6,1,,,,,1,,,,,2,,1,,,,,,,1,,,1,,,,,,,1,,,,,,,,-,,W,S
,11,,1.4,KSD,A,UR,14,Hotspot,br4in6,,,,1,,,,1,,,,,,,,,,,,1,,1,,,,,,,,1,,,,3,,,,-,,W,S
,12,,1.4,KSD,A,O7,1,North,br4in6,,,1,,,,,1,,,1,,,,,,,,1,,,1,,,1,,,,,,,,,2,,,,-,,L,S
,13,,1.4,KSD,A,TASH,52,Land of Fire,br4in6,1,,,1,,,,,,,1,,,,,,,,2,,,1,,,,,,,,1,,,1,,,,,-,,W,37
,14,,1.4,KSD,B,FORM,51,Shards,br4in6,1,,,,,,,,1,,1,,,,1,,,,1,,,1,,,1,,,,,1,,,,,,,,-,,W,32
,15,,1.4,KSD,B,R-F,18,Warrior's Path,br4in6,1,,,1,,,,,,,1,,,,,,,,1,,,1,,,1,,,,1,,,,,1,,,,-,,L,-14
,16,,1.4,KSD,B,CUTE,22,Crash Zone Alpha,br4in6,,,,1,,,,1,,,2,,,,,,,,1,1,,,,,1,,,,,,,,1,,,,,-,,L,-16
,17,,1.4,KSD,B,TQL,53,North,br4in6,1,,,1,,,,,,,1,,,,1,,,,,2,,,,,,,,,,,,,2,,,,,-,,W,28
,18,,1.4,KSD,B,-RNG-,140,Shards,br4in6,1,,,1,,,,,,1,1,,,,,,,,,1,,1,,,,,,2,,,,,,,,,,-,,W,30
,19,,1.4,KSD,B,CCPLZ,186,Warrior's Path,br4in6,,1,,1,,,,,,,1,,1,,1,,,,,,1,,,,,,,1,,,,,,1,,,,-,,W,32
,20,,1.4,KSD,B,STAR,88,Crash Zone Alpha,br4in6,,1,,1,,,,,,,1,,,,1,,,,1,1,,,,,,,,,,,,,2,,,,,-,,W,S
,1,30/10,2.1,KSD,A,R-F,18,Warrior's Path,McRendel1ten,1,,,1,,,,,,,1,,,,,,,,,1,,1,,,1,,,,1,,,,,1,,,,-,,L,-15
,2,,2.1,KSD,A,THREE,205,Hotspot,McRendel1ten,1,,,1,,,,,,,1,,,,,,,,1,1,,1,,,1,,,,1,,,,,,,,,-,,W,26
,3,,2.1,KSD,A,CUTE,22,North,McRendel1ten,1,,,,,,,1,,,,,,,1,,,,1,1,,1,,,1,,,,,,,,,1,,,,-,,W,30
,4,,2.1,KSD,A,MIA,16,Sea of Fortune,McRendel1ten,,,,2,,,,,,,1,,,,,,,,,,,2,,,,,,,1,,,,,2,,,,-,,L,-14
,5,,2.1,KSD,A,PWP,4,Crash Zone Alpha,McRendel1ten,,,,1,,1,,,,,1,,,,1,,,,,1,,1,,,,,,,,,,,2,,,,,-,,L,-11
,6,,2.1,KSD,A,RKN,19,Hotspot,McRendel1ten,1,,,1,,,,,,,1,,,,,,,,1,,,2,,,,,,,1,,,,1,,,,,-,,L,-16
,7,,2.1,KSD,A,-BRS-,33,North,McRendel1ten,,,,2,,,,,,,1,,,,,,,,,1,,2,,,,,,,2,,,,,,,,,-,,L,-17
,8,,2.1,KSD,A,MASSD,83,Land of Fire,McRendel1ten,,,,2,,,,,,,1,,,,,,,,,1,,2,,,,,,1,,,,,,1,,,,-,,L,-15
,9,,2.1,KSD,A,TNG,15,Crash Zone Alpha,McRendel1ten,1,,,1,,,,,,,2,,,,1,,,,,,,1,,,,,,,1,,,,1,,,,,-,,L,S
,10,,2.1,KSD,A,CUTE,22,North,McRendel1ten,,,,1,,,,1,,,,,,,1,,,,2,1,,,,,,,,,1,,,,,1,,,,-,,W,S
,11,,2.1,KSD,A,-BRS-,33,Hotspot,McRendel1ten,,,,2,,,,,,,1,,,,,,1,,1,,,1,,,,,,,2,,,,,,,,,-,,L,S
,12,,2.1,KSD,A,NEON,79,Crash Zone Alpha,McRendel1ten,,1,,1,,,,,,,1,,,,2,,,,1,1,,,,,1,,,,,,,,,,,,,-,,W,S
,13,,2.1,KSD,A,PN,80,Land of Fire,McRendel1ten,,,,2,,,,,,,,,1,,,,,,,2,,,,,,,,,,1,,,,2,,,,-,,L,S
,1,31/10,2.2,KSD,A,GAISHU,2,Hotspot,McRendel1ten,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,4,,,,-,,L,-44
,2,,2.2,KSD,A,RKN,19,North,McRendel1ten,,,,1,,,,,1,,1,,,,,,,,1,,,2,,,,,,,1,,,,1,,,,,-,,W,29
,3,,2.2,KSD,A,PWP,4,Shards,McRendel1ten,,,,2,,,,,,,1,,,,,,,,,2,,1,,,1,,,,,,,,1,,,,,-,,L,-12
,4,,2.2,KSD,A,TNG,15,Warrior's Path,McRendel1ten,1,,,1,,,,,,,2,,,,1,,,,,,,1,,,1,,,,,,,,1,,,,,-,,W,S
,5,,2.2,KSD,A,NGAGE,6,Land of Fire,McRendel1ten,1,,,1,,,,,,,1,,,,,,,,1,,,2,,,1,,,,,,,,,1,,,,-,,L,S
,6,,2.2,KSD,A,TNG-2,40,Sea of Fortune,McRendel1ten,,,,1,,,,1,,,,,,,1,,,,,1,,1,1,,,,,1,,,,,1,,,,,-,,W,S
,7,,2.2,KSD,A,ASHIP,141,North,McRendel1ten,,,,1,1,,,,,,1,,,,,,,,1,1,,1,,1,,,,,,,,,,1,,,,-,,W,S
,8,,2.2,KSD,A,-B2P-,23,Hotspot,McRendel1ten,,,,1,,,,1,,,,,,,,,1,,1,1,,1,,,1,,,,,,,,,1,,,,-,,L,S
,9,,2.2,KSD,A,-CHL-,348,Land of Fire,McRendel1ten,,,,,1,,,,1,,2,,,,,,,,1,1,,,,,,,,,,1,,,,1,,,,-,,W,40
,10,,2.2,KSD,A,KSC,21,Shards,McRendel1ten,,,,2,,,,,,,,,,,1,,1,,1,,,,,,1,,,,,,,,1,1,,,,-,,W,29
,11,,2.2,KSD,A,GAISHU,2,Warrior's Path,McRendel1ten,1,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,4,,,,-,,L,-9
,1,02/11,2.3,KSD,A,-TXT-,42,Sea of Fortune,McRendel1ten,1,,1,,,,,,,,1,,,,,,,,,1,,2,,,,,,1,1,,,,,,,,,-,,L,-15
,2,,2.3,KSD,A,CUTER,8,Crash Zone Alpha,McRendel1ten,,,,2,,,,,,,1,,,,,,,,1,1,,1,,,,,,,1,,,,1,,,,,-,,L,-13
,3,,2.3,KSD,A,TNG-3,48,North,McRendel1ten,,,,2,,,,,,,2,,,,,,,,1,,,,,,,,,1,1,,,,,1,,,,-,,W,28
,4,,2.3,KSD,A,STARZ,123,Sea of Fortune,McRendel1ten,1,,,1,,,,,,,1,,,,1,,,,,1,,1,,,1,,,,,,,,1,,,,,-,,W,25
,5,,2.3,KSD,A,MIA,16,Warrior's Path,McRendel1ten,,,,2,,,,,,1,1,,,,,,,,,,,1,,,,,,,1,,,,,2,,,,-,,L,-12
,6,,2.3,KSD,A,STURM,97,Hotspot,McRendel1ten,,,,1,1,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,3,,,,-,,W,27
,7,,2.3,KSD,A,-BRS-,33,Shards,McRendel1ten,,1,,1,,,,,,,1,,,,,,,,,1,,2,,,,,,,2,,,,,,,,,-,,W,27
,8,,2.3,KSD,A,TASH,52,Sea of Fortune,McRendel1ten,2,,,,,,,,,,1,,,,,,,,2,,,,,,,,,1,,,,,,2,,,,-,,W,24
,9,,2.3,KSD,A,CHASE,66,North,McRendel1ten,,,,2,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,3,,,,-,,L,-16
,1,03/11,2.4,KSD,A,PEEDZ,38,Land of Fire,McRendel1ten,1,,,1,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,3,,,,-,,L,-15
,2,,2.4,KSD,A,TNG,15,Shards,McRendel1ten,,,,2,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,1,2,,,,-,,L,-14
,3,,2.4,KSD,A,SUR,98,Warrior's Path,McRendel1ten,,,1,,,,1,,,,1,,,,,,,,1,,,1,1,,,,,,,,,1,,1,,,,-,,L,-16
,4,,2.4,KSD,A,SYN,170,Hotspot,McRendel1ten,,,,2,,,,,,1,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,-,,L,-14
,5,,2.4,KSD,A,QQ7,20,Crash Zone Alpha,McRendel1ten,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,4,,,,-,,L,-17
,6,,2.4,KSD,A,ARP,24,Shards,McRendel1ten,,,,1,,,,,1,,1,,,,1,,,,1,1,,,,,,,,1,,,,,1,,,,,-,,W,26
,7,,2.4,KSD,A,CVR,37,Land of Fire,McRendel1ten,,,,2,,,,,,,,,,,2,,,,,2,,,,,,,,1,,,,,,1,,,,-,,L,-19
,8,,2.4,KSD,A,5D2,118,North,McRendel1ten,1,1,,,,,,,,,2,,,,1,,,,,1,,,,,,,,2,,,,,,,,,,-,,W,23
,9,,2.4,KSD,A,WDWTS,181,Sea of Fortune,McRendel1ten,,,,,,,,1,1,1,1,,,,1,,,,,,1,,,,,,,,,,,,,2,,,,-,,W,24
,10,,2.4,KSD,A,RNG,35,Warrior's Path,McRendel1ten,1,,,1,,,,,,,,,,,,,,,,2,,1,,,1,,,,,,,,1,1,,,,-,,L,-16
,11,,2.4,KSD,A,BOTES,17,North,McRendel1ten,,1,,,,,,,,,,,,,,,,,1,1,,3,,,1,,,,,,,1,,,,,,-,,L,-15
,12,,2.4,KSD,A,-BN-,9,Shards,McRendel1ten,,,1,1,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,1,2,,,,-,,L,-16
,13,,2.4,KSD,A,TQL,53,Hotspot,McRendel1ten,1,,,1,,,,,,,1,,,,,,,,1,1,,1,,,,,,,,,,,2,,,,,-,,W,29
,14,,2.4,KSD,A,RWBY,188,Warrior's Path,McRendel1ten,,,,1,,,,1,,,1,,,,1,,,,1,1,,,,,,,,,,,,1,1,,,,,-,,W,22
,15,,2.4,KSD,A,QQ7,20,Shards,McRendel1ten,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,4,,,,-,,W,26
,16,,2.4,KSD,A,ANKER,103,Land of Fire,McRendel1ten,,,,2,,,,,,,,,1,,,,,,1,1,,,,,,,,,,1,,,1,1,,,,-,,L,-19
,17,,2.4,KSD,A,KSC,21,Sea of Fortune,McRendel1ten,,,,2,,,,,,,,,,,,,,,2,2,,1,,,,,,,,1,,,,,,,,-,,W,30
,18,,2.4,KSD,A,STW,31,Hotspot,McRendel1ten,,2,,,,,,,,,1,,,,2,,,,1,,,,,,,,,1,,,,1,,,,,,-,,L,-19
,19,,2.4,KSD,A,CUTE,22,North,McRendel1ten,1,,,1,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,1,2,,,,-,,L,-17
,1,06/11,3.1,KSD,A,BUNNY,82,Crash Zone Alpha,Br4in6,1,,,1,,,,,,,1,,,,1,,,,,1,,1,,,1,,,,,,,,1,,,,,-,,W,21
,2,,3.1,KSD,A,STW,31,Warrior's Path,Br4in6,,,,2,,,,,,,1,,,,1,,1,,,1,,,,,,,,,1,,,,1,,,,,-,,W,22
,3,,3.1,KSD,A,TNG-3,48,Sea of Fortune,Br4in6,1,,,1,,,,,,,2,,,,,,,,1,,,,,,,,,1,,,,,,2,,,,-,,W,21
,4,,3.1,KSD,A,ADOPT,30,Crash Zone Alpha,Br4in6,,,,1,,,,,1,,,,,,,,,,1,1,,,,,,,,,1,,,,,3,,,,-,,L,-18
,5,,3.1,KSD,A,OO7,13,Shards,Br4in6,1,,,1,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,1,,,,1,,,,-,,L,-15
,6,,3.1,KSD,A,-BRS-,33,Warrior's Path,Br4in6,,,,2,,,,,,,2,,,,,,,,,1,,1,,,,,,,1,,,,,1,,,,-,,W,21
,7,,3.1,KSD,A,RMOVE,32,Sea of Fortune,Br4in6,,,,,1,1,,,,1,1,1,,,,,,,,1,,,,,,,,,,1,,,,1,,,,-,,L,-17
,8,,3.1,KSD,A,-TXT-,42,Shards,Br4in6,1,,,1,,,,,,,1,,,,,,,,1,1,,1,,,,,,,1,,,,1,,,,,-,,W,27
,9,,3.1,KSD,A,KWA,69,Sea of Fortune,Br4in6,,,1,,,,,,1,1,1,,,,1,,,,1,,,,,,1,,,,,,,,1,,,,,-,,W,19
,10,,3.1,KSD,A,NAM-5,248,Land of Fire,Br4in6,1,,,1,,,,,,,2,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,-,,W,20
,11,,3.1,KSD,A,BS,106,North,Br4in6,,,,2,,,,,,,2,,,,1,,,,,,,1,,,,,,1,,,,,,1,,,,-,,W,21
,12,,3.1,KSD,A,-BN-,9,Crash Zone Alpha,Br4in6,,,,1,,,,,,,,,,,,,,,,2,,1,,,1,,,,,,,,,3,,,,-,,L,-14
,1,07/11,3.2,KSD,A,-BRS-,33,Hotspot,Br4in6,,,,2,,,,,,,1,,,,,,1,,1,,,1,,,1,,,,1,,,,,,,,,-,,W,24
,2,,3.2,KSD,A,TNG,15,Sea of Fortune,Br4in6,,,,2,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,1,2,,,,-,,W,28
,3,,3.2,KSD,A,UR,14,Shards,Br4in6,,,,1,,,1,,,,1,,,,,,,,,1,,2,,,1,,,,,,,,1,,,,,-,,L,-20
,4,,3.2,KSD,A,CUTE,22,Land of Fire,Br4in6,1,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,1,3,,,,-,,L,-21
,5,,3.2,KSD,A,ARP,24,Crash Zone Alpha,Br4in6,,,,2,,,,,,,1,,,,,,,,,2,,,,,,,,,1,,,,1,1,,,,-,,W,25
,6,,3.2,KSD,A,-BRS-,33,Hotspot,Br4in6,,,,2,,,,,,,1,,,,,,1,,1,,,1,,,,,,,2,,,,,,,,,-,,L,-19
,7,,3.2,KSD,A,TQL,53,North,Br4in6,1,,,1,,,,,,,1,,,,,,,,1,1,,1,,,,,,,,,,,2,,,,,-,,L,-19
,8,,3.2,KSD,A,CVR,37,Sea of Fortune,Br4in6,1,,,1,,,,,,,,,,,,,,,1,3,,,,,,,,1,,,,,1,,,,,-,,L,-19
,9,,3.2,KSD,B,-TXT-,42,Land of Fire,Br4in6,1,,,1,,,,,,,1,,,,,,,,1,1,,1,,,,,,,1,,,,1,,,,,-,,W,S
,10,,3.2,KSD,B,GRAVE,221,North,Br4in6,,,,1,,,,1,,,1,,,,1,,,,1,,,,,,,1,,,,,,,1,1,,,,-,,W,S
,11,,3.2,KSD,B,O7,1,Land of Fire,Br4in6,1,,,,,,,,,,,,,,,,,,1,2,,2,,,1,,,,,,,,1,,,,,-,,L,S
,12,,3.2,KSD,B,KSC,21,Hotspot,Br4in6,,,,1,,,,,1,3,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,-,,W,S
,13,,3.2,KSD,B,-BN-,9,North,Br4in6,,,,1,,,,,,,,,,,,,,,,2,,1,,,1,,,,,,,,,3,,,,-,,L,-14
,14,,3.2,KSD,B,STAR,88,Land of Fire,Br4in6,,1,,1,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,1,2,,,,-,,L,-16
,15,,3.2,KSD,B,MIA,16,Crash Zone Alpha,Br4in6,,,,1,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,4,,,,-,,L,S
,1,09/11,3.3,KSD,A,TNG-3,48,North,Br4in6,1,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,1,2,,,,-,,W,23
,2,,3.3,KSD,A,PN,80,Hotspot,Br4in6,1,,,1,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,3,,,,-,,W,24
,3,,3.3,KSD,A,TQL,53,Sea of Fortune,Br4in6,,,,2,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,2,,,,,-,,L,-20
,4,,3.3,KSD,A,FIES,43,Crash Zone Alpha,Br4in6,1,,,1,,,,,,,1,,,,1,,,,,2,,,,,,,,,,,,,1,1,,,,-,,W,22
,5,,3.3,KSD,A,KAG,57,Land of Fire,Br4in6,1,,,1,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,2,,,,-,,W,21
,6,,3.3,KSD,A,RNG,35,Crash Zone Alpha,Br4in6,1,,,1,,,,,,,,,,,,,,,,1,,2,,,1,,,,,,,,1,1,,,,-,,L,-16
,7,,3.3,KSD,A,SORRY,133,Hotspot,Br4in6,,,,2,,,,,,,1,,,,,,,,,2,,1,,,,,,,1,,,,1,,,,,-,,W,22
,8,,3.3,KSD,A,RMOVE,32,Sea of Fortune,Br4in6,,,,1,,1,,,,,,,,,,,1,,1,,,,,,1,,,,,1,,,,2,,,,-,,L,-17
,9,,3.3,KSD,A,NIER,61,Crash Zone Alpha,Br4in6,,,,1,,,1,,,,1,,,,1,,,,2,,,,,,,,,,,1,,,1,,,,,-,,L,-20
,10,,3.3,KSD,A,R-F,18,Land of Fire,Br4in6,1,,,1,,,,,,,1,,,,,,,,1,1,,1,,,,,,,1,,,,1,,,,,-,,L,-19
,11,,3.3,KSD,B,5D,45,Land of Fire,Br4in6,1,,,1,,,,,,1,2,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,-,,W,S
,12,,3.3,KSD,B,RNG,35,Sea of Fortune,Br4in6,,,,,1,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,4,,,,-,,W,S
,13,,3.3,KSD,B,TNG-2,40,North,Br4in6,,,,1,,,,1,,,,,,,1,,,,1,1,,,1,,,,,1,,,,,1,,,,,-,,W,30
,14,,3.3,KSD,B,TRETA,90,Warrior's Path,Br4in6,1,,,1,,,,,,,1,,,,,,,,,2,,1,,,,,,1,,,,,1,,,,,-,,W,32
,15,,3.3,KSD,B,FURIA,55,Sea of Fortune,Br4in6,,,,2,,,,,,,4,,,,,,,,,1,,,,,,,,,1,,,,,,,,,-,,W,26
,16,,3.3,KSD,B,BLEP,96,Warrior's Path,Br4in6,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,-,,W,29
,17,,3.3,KSD,B,ARP,24,Sea of Fortune,Br4in6,,,,2,,,,,,,1,,,,,,,,,2,,1,,,,,,,,,,,2,,,,,-,,W,26
,18,,3.3,KSD,B,CCTV2,111,Warrior's Path,Br4in6,1,,,1,,,,,,,1,,,,,,,,1,1,,1,,,,,,1,,,,,1,,,,,-,,W,23
,19,,3.3,KSD,B,OVO,91,Shards,Br4in6,,,,2,,,,,,,1,,,,1,,,,,2,,,,,1,,,,,,,,1,,,,,-,,W,28
,1,10/11,3.4,KSD,A,RKN,19,Hotspot,Br4in6,1,,,1,,,,,,,1,,,,,,,,1,,,2,1,,,,,1,,,,,,,,,,-,,W,25
,2,,3.4,KSD,A,R-F1,93,Shards,Br4in6,1,,,1,,,,,,,1,,,,,,,,,1,,1,,,,,,1,,,,,,2,,,,-,,W,21
,3,,3.4,KSD,A,TQL,53,Sea of Fortune,Br4in6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,4,,,,-,,L,-18
,4,,3.4,KSD,A,KSC,21,North,Br4in6,1,,,,,,1,,,1,1,,,,,,,,,2,,1,,,,,,,,,,,1,,,,,-,,L,-20
,5,,3.4,KSD,A,STURM,97,Crash Zone Alpha,Br4in6,,,,1,,,,1,,,,,,,,,,,,2,,,,,1,,,,,,,,,2,,,1,-,,W,21
,6,,3.4,KSD,A,TQL,53,Sea of Fortune,Br4in6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,4,,,,-,,L,-17
,7,,3.4,KSD,A,FURIA,55,Crash Zone Alpha,Br4in6,,,,1,,,,1,,,3,,,,,,,,,1,,,,,2,,,,,,,,,,,,,-,,W,20
,8,,3.4,KSD,A,RMOVE,32,Land of Fire,Br4in6,1,,,,,,1,,,,,,,,,,,,1,1,,1,,,,,,,,1,,,,2,,,,-,,W,25
,9,,3.4,KSD,A,STAR,88,North,Br4in6,,,,2,,,,,,,1,,,,,,,,,1,,1,1,,,,,,,,,,1,1,,,,-,,L,-17
,10,,3.4,KSD,A,STW,31,Shards,Br4in6,,,,1,,,1,,,,1,,,,1,,,,,1,,,,,1,,,,,,,,,2,,,,-,,W,20
,11,,3.4,KSD,A,ARP,24,Crash Zone Alpha,Br4in6,1,,,1,,,,,,,,,,,,,,,3,,,1,,,,,,1,,1,,,,,,,,-,,L,-18
,12,,3.4,KSD,A,MIA,16,North,Br4in6,,,,1,,,,,,,,,,,,,,,1,2,,2,,,2,,,,,,,,,,,,,-,,L,-14
,13,,3.4,KSD,B,PSV,10,Sea of Fortune,Br4in6,1,,,1,,,,,,,1,,,,,,,,1,,,2,,,,,,1,,,,,1,,,,,-,,L,-18
,14,,3.4,KSD,B,NNC,43,Warrior's Path,Br4in6,,,,1,,,1,,,,1,,,,,,,,1,,,1,,,1,,,,,,,,,2,,,,-,,W,26
,15,,3.4,KSD,B,ADOPT,30,Hotspot,Br4in6,,,,1,,,,,1,,,,,,,,,,,2,,,,,,,,,1,1,,,,2,,,,-,,W,25
,16,,3.4,KSD,B,CUTE,22,Land of Fire,Br4in6,,,,1,,1,,,,,1,,,,,,,,1,1,,1,,,1,,,,,,,,,1,,,,-,,L,-19
,17,,3.4,KSD,B,AP,12,Warrior's Path,Br4in6,1,,,1,,,,,,,1,,,,,,,,,1,,2,,,,,,,1,1,,,,,,,,-,,L,-16
,18,,3.4,KSD,B,SCCC,3,Hotspot,Br4in6,,,,1,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,4,,,,-,,L,-12
,1,13/11,4.1,KSD,A,SYN,170,Warrior's Path,Br4in6,,,,2,,,,,,,1,,,,,,,,2,1,,1,,,,,,,1,,,,,,,,,-,,W,23
,2,,4.1,KSD,A,OO7,13,Hotspot,Br4in6,,,,1,,,,,,,1,,,,,1,,,1,1,,1,,,1,,,,,,,,1,,,,,-,,L,-15
,3,,4.1,KSD,A,KSE,50,North,Br4in6,1,1,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,3,,,,-,,W,19
,4,,4.1,KSD,A,CUTE,22,Sea of Fortune,Br4in6,1,,,,,,,,1,,,,,,,1,,,1,1,,1,,,,,,,1,,,,,1,,,,-,,L,-20
,5,,4.1,KSD,A,KNCOL,89,Crash Zone Alpha,Br4in6,,,,1,,1,,,,1,1,,,,,,,,,1,1,1,,,1,,,,,,,,,,,,,-,,W,20
,6,,4.1,KSD,A,CVR,37,North,Br4in6,,,,2,,,,,,,,,,,1,1,,,2,,,,,,,,,1,,,,,,1,,,,-,,L,-20
,7,,4.1,KSD,A,STURM,97,Shards,Br4in6,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,4,,,1,-,,W,21
,8,,4.1,KSD,A,-BN-,9,Hotspot,Br4in6,,,,1,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,4,,,,-,,W,S
,1,14/11,4.2,KSD,A,PEEDZ,38,North,Br4in6,1,,,,,,,,,,,,,,,1,,,1,2,,1,,,1,,,,,,,,1,,,,,-,,W,S
,2,,4.2,KSD,A,BGA,163,Land of Fire,Br4in6,,1,,1,,,,,,1,1,,,,,,,,,2,,,,,,,,,1,,,,1,,,,,-,,L,S
,3,,4.2,KSD,A,-BRS-,33,Hotspot,Br4in6,,,,2,,,,,,,1,,,,,,,,2,,,1,,,,,,,2,,,,,,,,,-,,L,S
,4,,4.2,KSD,A,CCTV2,111,North,Br4in6,,,,2,,,,,,,1,,,,,,,,1,1,,1,,,,,,1,,,,,1,,,,,-,,W,S
,5,,4.2,KSD,A,PSV,10,Land of Fire,Br4in6,1,,,1,,,,,,,1,,,,,,,,1,,,2,,,,,,1,,,,,1,,,,,-,,W,44
,6,,4.2,KSD,A,RNG,35,Crash Zone Alpha,Br4in6,1,,,1,,,,,,,,,,,,,,,,1,,2,,,1,,,,,,,,1,1,,,,-,,L,-19
,7,,4.2,KSD,A,CUTE,22,Hotspot,Br4in6,1,,,,1,,,,,,1,,,,,1,,,2,,,,,,,,,,1,,,,,1,,,,-,,L,-20
,8,,4.2,KSD,A,CUTIE,76,Land of Fire,Br4in6,1,,,,,,,1,,,,,,,1,,,,2,,,1,,,1,,,,1,,,,,,,,,-,,L,S
,9,,4.2,KSD,A,-B2P-,23,North,Br4in6,,,,1,,1,,,,,,,,,,,,,1,1,,2,,,1,,,,,,,,1,,,,,-,,L,S
,,16/11,4.3,KSD,B,SMILE,1,Warrior's Path,McRendel1ten,,,,1,,,,1,,,1,1,,,,,,,1,,,1,,,,,,,,1,,,1,,,,,-,,L,-9
,,,4.3,KSD,B,-BN-,9,Hotspot,McRendel1ten,,,,1,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,4,,,,-,,L,-13
,,,4.3,KSD,B,RUSHB,99,North,McRendel1ten,,,,1,,,,,1,,1,,,,,,,,1,1,,,1,,,,,,,,,,,2,,,,-,,W,28
,,,4.3,KSD,B,KSC,21,Land of Fire,McRendel1ten,,,,1,,,,,,,,,,,,2,,,1,1,,1,,,,,,,,1,,,1,,,,,-,,W,32
,,,4.3,KSD,A,QCN,176,Crash Zone Alpha,McRendel1ten,,,,1,,,,,1,,1,,,,1,,,,,1,,,,,,,,,1,,,,,2,,,,-,,W,S
,,,4.3,KSD,A,STW,31,Sea of Fortune,McRendel1ten,,,,1,,,1,,,,1,,,,1,,,,,1,,,,,1,,,,,,,,1,1,,,,-,,L,S
,,,4.3,KSD,A,TNG,15,Crash Zone Alpha,McRendel1ten,,,,2,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,1,2,,,,-,,L,-52
,,,4.3,KSD,A,PN,80,Crash Zone Alpha,McRendel1ten,1,1,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,3,,,,-,,L,-17
,,,4.3,KSD,A,ES,120,North,McRendel1ten,,,,2,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,1,1,,,,,-,,W,21
,,,4.3,KSD,A,-BRS-,33,Shards,McRendel1ten,,,,2,,,,,,,1,,,,,,,,2,,,1,,,,,,,2,,,,,,,,,-,,L,-19
,,,4.3,KSD,A,QCN,176,Hotspot,McRendel1ten,,,,1,,,,,1,,1,,,,,,,,,2,,1,,,,,,,1,,,,1,,,,,-,,W,22
